epoch,iteration,train/loss_seg,valid/loss_BCE,valid/dice,elapsed_time,best_epoch
0,0,0.6720304489135742,,,3.764559,
0,1,0.254635214805603,,,3.968087,
0,2,0.19550350308418274,,,4.082954,
0,3,0.19711926579475403,,,4.194369,
0,4,0.18061181902885437,,,4.302507,
0,5,0.14879676699638367,,,4.411154,
0,6,0.14778950810432434,,,4.519189,
0,7,0.18528175354003906,,,4.627291,
0,8,0.18033155798912048,,,4.735862,
0,9,0.17019665241241455,,,4.844773,
0,10,0.12474972009658813,,,4.953557,
0,11,0.11680734902620316,,,5.062655,
0,12,0.11662671715021133,,,5.171433,
0,13,0.11021476984024048,,,5.280403,
0,14,0.10314343869686127,,,5.388814,
0,15,0.08747256547212601,,,5.497251,
0,16,0.10767926275730133,,,5.604909,
0,17,0.0942874401807785,,,5.666243,
1,18,0.09378160536289215,,,6.236084,
1,19,0.08557981252670288,,,6.349667,
1,20,0.0885801613330841,,,6.45724,
1,21,0.08406898379325867,,,6.565363,
1,22,0.07524992525577545,,,6.673702,
1,23,0.07719147205352783,,,6.784539,
1,24,0.06697066128253937,,,6.892985,
1,25,0.06980131566524506,,,7.001265,
1,26,0.06489062309265137,,,7.109641,
1,27,0.06579732149839401,,,7.218343,
1,28,0.05943430960178375,,,7.326164,
1,29,0.06394843757152557,,,7.43814,
1,30,0.06393520534038544,,,7.700991,
1,31,0.06507710367441177,,,7.830349,
1,32,0.09458175301551819,,,7.937552,
1,33,0.05270695686340332,,,8.044239,
1,34,0.05713880434632301,,,8.15091,
1,35,0.05522175878286362,,,8.209442,
2,36,0.06075343117117882,,,8.871301,
2,37,0.05835593491792679,,,8.989803,
2,38,0.05307669937610626,,,9.100483,
2,39,0.054218024015426636,,,9.215825,
2,40,0.05203896015882492,,,9.325779,
2,41,0.04738437384366989,,,9.439314,
2,42,0.04753144457936287,,,9.5494,
2,43,0.057247646152973175,,,9.664062,
2,44,0.04494962468743324,,,9.77407,
2,45,0.048171516507864,,,9.885076,
2,46,0.050836119800806046,,,9.995057,
2,47,0.045423731207847595,,,10.105112,
2,48,0.047964148223400116,,,10.215205,
2,49,0.05049740523099899,,,10.325424,
2,50,0.04430805519223213,,,10.434733,
2,51,0.04638323932886124,,,10.543506,
2,52,0.058346159756183624,,,10.652227,
2,53,0.04981227219104767,,,10.713029,
3,54,0.04918226599693298,,,11.3955,
3,55,0.046600066125392914,,,11.50385,
3,56,0.046598080545663834,,,11.612439,
3,57,0.04515755921602249,,,11.721259,
3,58,0.04416067898273468,,,11.830365,
3,59,0.047356151044368744,,,11.939065,
3,60,0.03964892029762268,,,12.198341,
3,61,0.04633234441280365,,,12.329101,
3,62,0.05039402097463608,,,12.437487,
3,63,0.044422075152397156,,,12.546559,
3,64,0.04174477607011795,,,12.654579,
3,65,0.043759699910879135,,,12.763008,
3,66,0.0437760055065155,,,12.871479,
3,67,0.03813842311501503,,,12.979877,
3,68,0.038282230496406555,,,13.087405,
3,69,0.03885453939437866,,,13.194195,
3,70,0.03882044926285744,,,13.30145,
3,71,0.03529614955186844,,,13.360044,
4,72,0.04174717515707016,,,14.002458,
4,73,0.03705211728811264,,,14.112277,
4,74,0.0404929555952549,,,14.221737,
4,75,0.040497131645679474,,,14.331044,
4,76,0.04092112183570862,,,14.440235,
4,77,0.04111010581254959,,,14.548881,
4,78,0.039041824638843536,,,14.657568,
4,79,0.03881845623254776,,,14.766773,
4,80,0.05078979581594467,,,14.876405,
4,81,0.04504679515957832,,,14.98523,
4,82,0.04063653200864792,,,15.094599,
4,83,0.04506143555045128,,,15.203494,
4,84,0.04470464587211609,,,15.312703,
4,85,0.0349075123667717,,,15.421311,
4,86,0.03838984668254852,,,15.529003,
4,87,0.03683348000049591,,,15.636288,
4,88,0.03829188644886017,,,15.743962,
4,89,0.03612733632326126,,,15.802945,
4,89,,(0.14719101786613464, 0.6038489639759064),16.747332,5
5,90,0.04324817657470703,,,17.465674,
5,91,0.03947605937719345,,,17.600206,
5,92,0.039150726050138474,,,17.710147,
5,93,0.040222540497779846,,,17.81977,
5,94,0.036095716059207916,,,17.929696,
5,95,0.03763401880860329,,,18.042948,
5,96,0.033888284116983414,,,18.153352,
5,97,0.039110682904720306,,,18.26353,
5,98,0.03746917471289635,,,18.373525,
5,99,0.040907785296440125,,,18.483763,
5,100,0.034265294671058655,,,18.594211,
5,101,0.0341867059469223,,,18.704517,
5,102,0.04023003205657005,,,18.814878,
5,103,0.04640528932213783,,,18.928321,
5,104,0.04264913126826286,,,19.037831,
5,105,0.03926952928304672,,,19.14696,
5,106,0.037542447447776794,,,19.258052,
5,107,0.036774735897779465,,,19.318654,
6,108,0.03637376055121422,,,19.966562,
6,109,0.033337268978357315,,,20.08121,
6,110,0.03579325973987579,,,20.191059,
6,111,0.04071454703807831,,,20.301322,
6,112,0.03706429526209831,,,20.411623,
6,113,0.03493661805987358,,,20.521646,
6,114,0.038674235343933105,,,20.631873,
6,115,0.045735012739896774,,,20.741605,
6,116,0.03802889585494995,,,20.851692,
6,117,0.03898189216852188,,,20.961776,
6,118,0.036250658333301544,,,21.071714,
6,119,0.03528076410293579,,,21.181651,
6,120,0.03651256114244461,,,21.449116,
6,121,0.03866373747587204,,,21.581129,
6,122,0.034657202661037445,,,21.690698,
6,123,0.03527858853340149,,,21.799849,
6,124,0.037017349153757095,,,21.908741,
6,125,0.03406407684087753,,,21.969363,
7,126,0.032698579132556915,,,22.613456,
7,127,0.04434026777744293,,,22.72943,
7,128,0.03512509912252426,,,22.840026,
7,129,0.03873220086097717,,,22.950645,
7,130,0.03364883363246918,,,23.060993,
7,131,0.036775194108486176,,,23.171644,
7,132,0.03754644840955734,,,23.28162,
7,133,0.037763528525829315,,,23.392216,
7,134,0.0360126718878746,,,23.502611,
7,135,0.036138903349637985,,,23.613099,
7,136,0.04492729902267456,,,23.726721,
7,137,0.03631573170423508,,,23.837816,
7,138,0.03225734084844589,,,23.949177,
7,139,0.04321882501244545,,,24.060929,
7,140,0.036071889102458954,,,24.171034,
7,141,0.03130554407835007,,,24.280744,
7,142,0.0375925675034523,,,24.3904,
7,143,0.027829010039567947,,,24.452603,
8,144,0.03139512240886688,,,25.103035,
8,145,0.03172076866030693,,,25.213238,
8,146,0.032904766499996185,,,25.323394,
8,147,0.03437517583370209,,,25.433599,
8,148,0.04275571182370186,,,25.545091,
8,149,0.034567058086395264,,,25.658609,
8,150,0.03527485579252243,,,25.937291,
8,151,0.03354103863239288,,,26.074202,
8,152,0.030949534848332405,,,26.184696,
8,153,0.03718757629394531,,,26.295321,
8,154,0.0344170480966568,,,26.40566,
8,155,0.0360795259475708,,,26.516761,
8,156,0.031603164970874786,,,26.628138,
8,157,0.029048457741737366,,,26.740259,
8,158,0.0505540631711483,,,26.850762,
8,159,0.04075496643781662,,,26.960802,
8,160,0.03280513733625412,,,27.070513,
8,161,0.029181506484746933,,,27.131842,
9,162,0.03201531246304512,,,27.80236,
9,163,0.03902585431933403,,,27.91404,
9,164,0.03196533024311066,,,28.024183,
9,165,0.030804816633462906,,,28.135804,
9,166,0.04400910437107086,,,28.246498,
9,167,0.031422197818756104,,,28.35698,
9,168,0.03321857750415802,,,28.467343,
9,169,0.03220969811081886,,,28.577478,
9,170,0.03172346577048302,,,28.687341,
9,171,0.03114398568868637,,,28.797738,
9,172,0.031906139105558395,,,28.907592,
9,173,0.03539784997701645,,,29.017534,
9,174,0.03527737408876419,,,29.127431,
9,175,0.030998416244983673,,,29.237524,
9,176,0.03298541158437729,,,29.346776,
9,177,0.03242349997162819,,,29.458297,
9,178,0.03376360982656479,,,29.567448,
9,179,0.028896449133753777,,,29.631052,
9,179,,(0.07446055486798286, 0.7430505454540253),30.694986,10
10,180,0.03363557904958725,,,31.415499,
10,181,0.035460811108350754,,,31.544263,
10,182,0.03844413161277771,,,31.654414,
